1362229477	    611779	   0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  161  157  146  150  148  150  134  134  149  131  138 2001    0    0    0 
1362229477	    711866	   0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  161  157  146  150  148  150  134  134  149  132  138 2001    0    0    0 
1362229477	    811891	   0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  161  157  146  150  148  150  134  134  149  132  138 2002    0    0    0 
1362229477	    911914	   0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  160  157  146  150  148  150  134  134  149  135  139 2002    0    0    0 
1362229478	     11947	   0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  161  157  146  150  148  150  134  134  149  146  139 2001    0    0    0 
1362229478	    112035	   0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  161  157  146  150  148  150  134  134  149  131  138 2001    0    0    0 
1362229478	    212045	   0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  161  157  146  150  148  150  134  134  149  131  139 2001    0    0    0 
1362229478	    312075	   0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  161  157  146  150  148  150  134  134  149  134  138 2002    0    0    0 
1362229478	    412124	   0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  161  157  146  150  148  150  134  134  151  140  138 2001    0    0    0 
1362229478	    512226	   0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  161  157  146  150  148  150  134  134  150  131  138 2002    0    0    0 
1362229478	    612244	   0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  160  157  146  150  148  150  134  134  149  151  138 2002    0    0    0 
1362229478	    712271	   0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  161  157  146  150  148  150  134  134  149  138  145 2001    0    0    0 
1362229478	    812309	   0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  161  157  146  150  148  150  134  134  149  131  143 2001    0    0    0 
1362229478	    912390	   0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  161  157  146  150  148  150  134  134  149  131  138 2003    0    0    0 
1362229479	     12406	   0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  161  157  146  150  148  150  134  134  149  131  138 2001    0    0    0 
1362229479	    112437	   0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  161  157  146  150  148  150  134  134  149  138  136 2001    0    0    0 
1362229479	    212506	   0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  161  157  146  150  148  150  134  134  149  131  138 2001    0    0    0 
